erId	pkrgId	name	romDesc	shortDesc	wiredAttrs
251	251	Screen Cleaner	Screen Cleaner removes all protective screens from both sides of the battlefield - Reflect, Light Screen, Aurora Veil, and Smokescreen - when the Pokemon enters battle. It also allows the Pokemon to set screens while they are already active, refreshing their duration.	Clears screens from both sides on entry. Can reset screens.	PostSummonRemoveArenaTagAbAttr
252	252	Steely Spirit	Steely Spirit increases the power of Steel-type moves by 30% for both the user and its allies in battle.	Boosts own & ally's Steel-type moves by 1.3x.	UserFieldMoveTypePowerBoostAbAttr
253	253	Perish Body	When hit by a contact move, Perish Body activates Perish Song on both the user and the attacker. Both Pokemon will faint in 3 turns unless they switch out.	If hit, casts Perish Song.	PostDefendPerishSongAbAttr
254	5001	WandrngSprit	When hit by a contact move, Wandering Spirit swaps abilities with the attacker. Both Pokemon regain their original ability upon switching out. Cannot swap with abilities that are also unable to be copied or suppressed.	Trades ability with attacker on contact.	PostDefendAbilitySwapAbAttr
255	255	Gorilla Tactics	Gorilla Tactics boosts physical move power by 50% but locks the user into using the first move selected until they switch out.	Raises own Atk by 1.5x, but can only use the first chosen move.	GorillaTacticsAbAttr,AiMovegenMoveStatsAbAttr
256	256	Neutralizing Gas	Fills the area with gas that completely suppresses all abilities except unsuppressable ones. Effect lasts while user is on field. After the user attempts to switch, all suppressed abilities reactivate their entry effects. Cannot be copied or swapped.	All abilities are nullified.	PostSummonAddArenaTagAbAttr,PreLeaveFieldRemoveSuppressAbilitiesSourceAbAttr,NoTransformAbilityAbAttr
257	257	Pastel Veil	Pastel Veil automatically sets up Safeguard for the user's team when the Pokemon enters battle. Safeguard lasts for 5 turns and protects all team members from status conditions.	Casts Safeguard on entry.	EntryEffectAbAttr
258	258	Hunger Switch	Automatically switches between Full and Hangry forms at the end of each turn. Cannot be overridden, suppressed, swapped, or copied in any way.	Changes between Full and Hangry forms after each turn.	PostTurnFormChangeAbAttr,PostTurnFormChangeAbAttr,NoTransformAbilityAbAttr,NoFusionAbilityAbAttr
259	259	Quick Draw	Quick Draw gives a 30% chance for the user to act first in their priority bracket. Stacks multiplicatively with Quick Claw for a 44% chance to activate.	30% chance to move first.	BypassSpeedChanceAbAttr
260	260	Unseen Fist	Unseen Fist allows all contact moves to bypass protection moves and ignore any secondary effects associated with them.	Contact moves strike through protection.	IgnoreProtectOnContactAbAttr
261	5002	CuriusMedicn	Curious Medicine removes an ally's positive and negative stat changes on the user's entry.	Resets its ally's stat changes on entry.	PostSummonScriptedMoveAbAttr
262	262	Transistor	Transistor increases the power of all Electric-type moves by 50%. Stacks additively with other damage modifiers.	Boosts the power of Electric-type moves by 1.5x.	MoveTypePowerBoostAbAttr
263	263	Dragon’s Maw	Dragon's Maw boosts the power of Dragon-type moves by 50%.	Boosts the power of Dragon-type moves by 1.5x.	MoveTypePowerBoostAbAttr
264	5003	ChillngNeigh	When this Pokemon knocks out an opponent with a direct attack, its Attack stat increases by one stage.	KOs raise Attack by one stage.	StatTriggerOnKoAbAttr
265	265	Grim Neigh	Grim Neigh boosts the Pokemon's Special Attack by one stage when it causes an opponent to faint with a direct attack.	KOs raise Sp. Atk by one stage.	PostVictoryStatStageChangeAbAttr
266	5004	As One	Prevents all opposing Pokemon from consuming held items. Raise Attack by one stage when the user knocks out an opponent with a direct attack.	Unnerve + Chilling Neigh.	PreventBerryUseAbAttr,PostVictoryStatStageChangeAbAttr
266	5004	As One	Prevents all opposing Pokemon from consuming held items. Raise Attack by one stage when the user knocks out an opponent with a direct attack.	Unnerve + Grim Neigh.	PreventBerryUseAbAttr,PostVictoryStatStageChangeAbAttr
268	5006	Chloroplast	Weather Ball doubles power and becomes Fire-type. Solar moves charge instantly. Growth boosts Attack and Special Attack by 2 stages. Moonlight, Morning Sun, and Synthesis recover 2/3 of your max HP. Grass and Water Pledge creates a sea of fire or rainbow respectively.	Weather Ball, Solar Beam/Blade, Growth act as if used in sun.	
269	5007	Whiteout	Whiteout boosts the Pokemon's highest attacking stat by 50% during hail. Also grants immunity to hail damage.	Ups highest attacking stat by 1.5x in hail.	SelfHighestStatMultiplierAbAttr
270	5008	Pyromancy	Pyromancy multiplies the burn chance of all moves by 5x. Does not interact with Flame Body.	Moves inflict burn 5x as often.	StatusChanceMultiplierAbAttr
271	5009	Keen Edge	Keen Edge boosts all slashing attacks by 30%.	Boosts the power of slashing moves by 1.3x.	FlagDamageBoostAbAttr
272	5010	Prism Scales	Prism Scales reduces damage from all Special attacks by 30%. Stacks multiplicatively with other damage reduction sources.	Takes 30% less damage from Special attacks.	DamageReductionAbAttr
273	5011	Power Fists	Punching moves gain a 30% damage boost and target Special Defense instead of Defense.	Iron Fist moves target Special Defense and get a 1.3x boost.	FlagDamageBoostAbAttr,DefenseStatSwapOnFlagAbAttr
274	5012	Sand Song	Sand Song boosts the power of all sound-based moves by 20% and converts Normal-type sound moves to Ground-type.	Sound moves get a 1.2x boost and become Ground if Normal.	TypeConversionAbAttr,TypeConversionPowerBoostAbAttr
275	5013	Rampage	Rampage eliminates recharge turns when the user successfully KOs an opponent with a direct attack.	No recharge after a KO, if it usually would need to recharge.	PostVictoryClearTagAbAttr
276	5014	Vengeance	Boosts the power of Ghost-type moves by 20%, or by 50% at 1/3 HP or lower.	Boosts Ghost-type moves by 1.2x, or 1.5x when below 1/3 HP.	MoveTypePowerBoostAbAttr,MovePowerBoostAbAttr
277	5015	Blitz Boxer	Blitz Boxer grants +1 priority to all punching moves when at full HP.	At full HP, gives +1 priority to this Pokémon's punching moves.	PriorityModifierAbAttr
278	5016	Antarctic Bird	Antarctic Bird grants a 1.3x power boost to both Ice-type and Flying-type moves. Additive with other damage boosts.	Ice-type and Flying-type moves get a 1.3x power boost.	TypeDamageBoostAbAttr,TypeDamageBoostAbAttr
279	5017	Immolate	Changes the user's Normal-type moves to Fire-type. If the user is Fire-type its Fire-type moves have a 10% chance to burn, otherwise it gains Fire STAB.	Normal moves become Fire. Fire moves are empowered.	TypeConversionAbAttr,TypeConversionPowerBoostAbAttr
280	5018	Crystallize	Crystallize converts all Rock- type moves to Ice-type and boosts their power by 10%.	Rock-type moves become Ice and get a 1.1x boost.	TypeConversionAbAttr,TypeConversionPowerBoostAbAttr
281	5019	Electrocytes	Electrocytes boosts Electric- type moves by 25%.	Boosts the power of Electric-type moves by 1.25x.	TypeDamageBoostAbAttr
282	5020	Aerodynamics	When targeted by Flying-type moves, Aerodynamics absorbs the attack and raises the user's Speed stat by one stage.	Boosts Speed instead of being hit by Flying-type moves.	TypeAbsorbStatBoostAbAttr
283	5021	Christmas Spirit	Christmas Spirit reduces all incoming damage by 50% during hail weather. Grants immunity to hail damage. Multiplicative with other damage reduction sources.	Takes 50% less damage if hail is active.	WeatherDamageReductionAbAttr
284	5022	Exploit Weakness	When attacking a statused opponent, targets their lower defensive stat.	Targets lowest defense vs statused foes.	DefenseStatSwapOnStatusedFoeAbAttr
285	5023	Ground Shock	Ground Shock allows Electric moves to hit Ground-type Pokemon for 0.5x damage.	Target Grounds aren't immune to Electric but resist it instead.	OffensiveTypeChartOverrideAbAttr
286	5024	Ancient Idol	Physical moves use the Defense stat of the user instead of Attack for damage, while special moves use the Special Defense stat of the user instead of Special Attack.	Uses Def and Sp. Def instead of Atk and Sp. Atk when attacking.	AttackStatSubstituteAbAttr
287	5025	Mystic Power	Mystic Power grants the 1.5x STAB damage bonus to all moves regardless of type matching. Does not boost moves that already receive a STAB bonus.	All moves gain the 1.5x power boost from STAB.	StabAddAbAttr
288	5026	Perfectionist	Attacks with 50 BP or less raise their critical hit ratio by one stage, and attacks with 25 BP or lower also gain +1 priority.	Move BP < 51 BP: +1 to crit rate. Move BP < 26 BP: +1 priority too.	PriorityModifierAbAttr
289	5027	Growing Tooth	Growing Tooth boosts the user's Attack by one stage whenever they successfully hit with a biting move.	Raises Attack by one stage after using a biting move.	StatBoostOnFlagAttackAbAttr
290	5028	Inflatable	When hit by any Fire or Flying moves, boost Defense and Special Defense by one stage each. Activates on each hit of a multihit move. The boost applies after the hit lands.	Ups Def and Sp. Def by one stage if hit by Flying or Fire moves.	StatTriggerOnHitAbAttr
291	5029	Aurora Borealis	Aurora Borealis grants STAB to all Ice-type moves regardless of the Pokemon's typing. Weather Ball becomes Ice-type with doubled power, Aurora Veil works without hail, and weather-based Ice moves like Blizzard to never miss.	Ice-type moves gain STAB. Moves always benefit from hail.	StabAddAbAttr
292	5030	Avenger	Avenger boosts the power of all moves by 50% for one turn after any party Pokemon faints.	If a party Pokémon fainted last turn, next move gets 1.5x boost.	AllyFaintPowerBoostTriggerAbAttr,AllyFaintPowerBoostAbAttr,AllyFaintPowerBoostExpireAbAttr
293	5031	Let's Roll	Let's Roll automatically raises Defense by one stage and applies the Defense Curl status upon entering battle, doubling the power of Rollout and other rolling moves.	Casts Defense Curl on entry.	PostSummonScriptedMoveAbAttr
294	5032	Aquatic	Upon entering battle, adds Water to the user's current typing. Retains Water typing even upon losing the ability, going away only when switching out.	Adds Water type on entry.	EntryEffectAbAttr
295	5033	Loud Bang	Sound-based attacks have a 50% chance to confuse the target upon a successful hit.	Sound-based moves have 50% chance to confuse the foe.	ChanceBattlerTagOnAttackAbAttr
296	5034	Lead Coat	Lead Coat reduces physical damage by 40% but decreases Speed by 10%. Also triples the user's weight. The damage reduction is multiplicative with other sources.	Takes 40% less from Phys. moves. This Pokémon's Speed is 0.9x.	DamageReductionAbAttr
297	5035	Amphibious	Grants STAB to Water-type moves regardless of the user's typing. Also provides immunity to being drenched.	Water moves gain STAB. Can't become drenched.	StabAddAbAttr
298	5036	Grounded	Grounded adds Ground type to the Pokemon upon entry. Retains Ground typing even upon losing the ability, going away only when switching out.	Adds Ground type on entry.	EntryEffectAbAttr
299	5037	Earthbound	Boosts the power of Ground-type moves by 20%, or by 50% at 1/3 HP or lower.	Boosts Ground-type moves by 1.2x, or 1.5x when under 1/3 HP.	MoveTypePowerBoostAbAttr,MovePowerBoostAbAttr
300	5038	Fighting Spirit	Changes the user's Normal-type moves to Fighting-type. If the user is Fighting-type its Fighting-type moves break screens, otherwise it gains Fighting STAB.	Normal moves become Fighting. Fighting moves are empowered.	TypeConversionAbAttr,TypeConversionPowerBoostAbAttr
301	5039	Cryptic Power	Feline Prowess increases the user's Special Attack stat by 2x. Multiplicative with other damage boosts.	Doubles own Sp. Atk stat. Boosts raw stat, not base stat.	StatMultiplierAbAttr
302	5040	Coil Up	On entry, gives +1 priority to the first biting move used. Priority boost is consumed after landing any biting move.	On entry, gives +1 priority once to the first biting move used.	PriorityModifierAbAttr
303	5041	Fossilized	Fossilized reduces Rock-type damage by 50% and boosts the user's Rock moves by 20%. Damage reduction is multiplicative with other sources, while the damage boost is additive with other sources.	Halves dmg taken by Rock moves. Boosts own Rock moves by 1.2x.	TypeDamageBoostAbAttr,DamageReductionAbAttr
304	5042	Magical Dust	If the user makes contact with another Pokemon, offensively or defensively, the other Pokemon's type is changed to pure Psychic. This happens immediately for multihit or priority moves and can remove STAB in the middle of an enemy's multihit move.	Makes foe Psychic-type on contact. Also works on offense.	PostDefendChangeAttackerTypeAbAttr
305	5043	Dreamcatcher	Dreamcatcher doubles the power of the user's moves when any opponent on the field is asleep. This includes the user, allies, or opponents. Attacks hit sleeping foes who are switching out for 1x power instead, damaging them before leaving. Does not activate against Comatose.	Doubles damage if an opponent is sleeping. Pursues sleeping foes.	ConditionalDamageAbAttr
306	5044	Nocturnal	Dark-type moves receive a 25% boost, and the user takes 25% less damage from Dark and Fairy moves. The damage reduction is multiplicative with other sources.	Boosts own Dark moves by 1.25x. Takes -25% dmg from Dark/Fairy.	TypeDamageBoostAbAttr
307	5045	Self Sufficient	Recovers 1/16 of max HP at the end of each turn.	Recovers 1/16 of max HP at the end of each turn.	PassiveRecoveryAbAttr
308	5046	Tectonize	Changes the user's Normal-type moves to Ground-type. If the user is Ground-type it is immune to Stealth Rocks and Spikes, otherwise it gains Ground STAB.	Normal moves becomes Ground. Might ignore hazards.	TypeConversionAbAttr,TypeConversionPowerBoostAbAttr
309	5047	Ice Age	Upon entering battle, adds Ice to the user's current typing. Retains Ice typing even upon losing the ability, going away only when switching out.	Adds Ice type on entry.	EntryEffectAbAttr
310	5048	Half Drake	Upon entering battle, adds Dragon to the user's current typing. Retains Dragon typing even upon losing the ability, going away only when switching out.	Adds Dragon type on entry.	EntryEffectAbAttr
311	5049	Liquified	Liquified reduces contact move damage by 50% but doubles Water- type move damage taken. Multiplicative with other damage reduction sources.	Takes 1/2 dmg from contact moves but Water moves hurt it 2x more.	DamageReductionAbAttr
312	5050	Dragonfly	Upon entering battle, adds Dragon to the user's current typing. Retains Dragon typing even upon losing the ability, going away only when switching out. Also gives the user immunity to Ground-type attacks and field effects that require you to be grounded.	Adds Dragon type on entry. Avoids Ground attacks.	EntryEffectAbAttr
313	5051	Dragonslayer	Deals 1.5x damage to Dragon-type Pokemon and takes 0.5x damage when attacked by Dragon-type Pokemon. Based on attacker/defender Pokemon types, not move types. The damage reduction is multiplicative with other sources.	Deals 1.5x damage to Dragons. Takes 0.5x damage from Dragons.	OffensiveTypeMultiplierAbAttr,ReceivedTypeDamageMultiplierAbAttr
314	5052	Mountaineer	Mountaineer grants immunity to all Rock-type moves and Stealth Rock entry hazard damage.	Immune to Rock-type attacks and Stealth Rock damage.	AttackTypeImmunityAbAttr
315	5053	Hydrate	Changes the user's Normal-type moves to Water-type. If the user is Water-type its Water-type moves have a 10% chance to drench, otherwise it gains Water STAB.	Normal moves become Water. Water moves are empowered.	TypeConversionAbAttr,TypeConversionPowerBoostAbAttr
316	5054	Metallic	Upon entering battle, adds Steel to the user's current typing. Retains Steel typing even upon losing the ability, going away only when switching out.	Adds Steel type on entry.	EntryEffectAbAttr
317	5055	Permafrost	Reduces damage from super- effective attacks by 35%. Multiplicative with other sources of damage reduction.	Takes 35% less damage from Super-effective moves.	DamageReductionAbAttr
318	5056	Primal Armor	Reduces damage from super- effective attacks by 50%. Multiplicative with other sources of damage reduction.	Takes 50% less damage from Super-effective moves.	DamageReductionAbAttr
319	5057	Raging Boxer	Raging Boxer causes punching moves to hit twice, with the first hit at 100% power and second hit at 40% power. Both attacks independently roll secondary effect chances (except flinch).	Punching moves hit twice. 1st hit at 100% power, 2nd hit at 40%.	HitMultiplierAbAttr,HitMultiplierPowerAbAttr
320	5058	Air Blower	Air Blower automatically sets up a 3-turn Tailwind upon entering battle, doubling the Speed of all Pokemon on the user's side. Also activates Wind Rider.	Casts a 3-turn Tailwind on entry.	PostSummonScriptedMoveAbAttr
321	5059	Juggernaut	Juggernaut boosts contact moves by adding 20% of the user's Defense stat to attack calculations. Prevents paralysis and immediately cures the status if inflicted on the user.	Contact moves add 20% Def to attack. Paralysis-immune.	SpeedBonusToStatAbAttr,StatusEffectImmunityAbAttrEr
322	5060	Short Circuit	Boosts the power of Electric- type moves by 20%, or by 50% at 1/3 HP or lower.	Boosts Elec.-type moves by 1.2x, or 1.5x when below 1/3 HP.	TypeDamageBoostAbAttr
323	5061	Majestic Bird	Majestic Bird boosts the user's Special Attack stat by 50%. Multiplicative with other damage boosts.	Boosts own Sp. Atk by 1.5x. Boosts raw stat, not base stat.	StatMultiplierAbAttr
324	5062	Phantom	Upon entering battle, adds Ghost to user's current typing. Retains Ghost typing even upon losing the ability, going away only when switching out.	Adds Ghost type on entry.	EntryEffectAbAttr
325	5063	Intoxicate	Changes the user's Normal-type moves to Poison-type. If the user is Poison-type its Poison- type moves have a 10% chance to badly poison, otherwise it gains Poison STAB.	Normal moves become Poison. Poison moves are empowered.	TypeConversionAbAttr,TypeConversionPowerBoostAbAttr
326	5064	Impenetrable	Impenetrable grants immunity to all non-attack damage sources including entry hazards, weather damage, status conditions, and recoil.	Only damaged by attacks.	BlockNonDirectDamageAbAttr
327	5065	Hypnotist	Boosts Hypnosis' accuracy to 90%. Does not lock to accuracy to 90%, the move still gets affected by accuracy/evasiveness changes.	Hypnosis accuracy is 90% when used by this Pokémon.	ConditionalAlwaysHitAbAttr
328	5066	Overwhelm	Allows Dragon-type moves to hit Fairy-type Pokemon for normal damage instead of having no effect. Additionally, the user is immune to Intimidate and Scare.	Hits Fairies with Dragon moves. Immune to Intimidate and Scare.	IntimidateImmunityAbAttrEr
329	5067	Scare	Upon entering battle, the user drops the Special Attack stat of all opposing Pokemon by one stage.	Lowers foes' Sp. Atk by one stage on entry.	PostSummonStatStageChangeAbAttr
330	5068	Majestic Moth	Majestic Moth raises the user's highest calculated base stat by 1 stage when it enters battle.	On entry, raises highest calculated stat by one stage.	SelfHighestStatBoostOnSummonAbAttr
331	5069	Soul Eater	When the user knocks out an opponent with a direct hit, it immediately recovers 25% of its maximum HP.	Dealing a KO heals 1/4 of this Pokémon's max HP.	LifestealOnKoAbAttr
332	5070	Soul Linker	When the user takes a direct hit, the opponent takes identical damage. When landing a direct hit, the user also takes the same damage it inflicts. Does not activate when either Pokemon is knocked out, taking damage from Pain Split, or against another Soul Linker.	Enemies take all the damage they deal, same for this Pokémon.	ReflectDamageOnDefendAbAttr,SelfDamageOnAttackAbAttr
333	5071	Sweet Dreams	Sweet Dreams restores 1/8 of maximum HP at the end of each turn when the user is asleep or has the Comatose ability. Additionally, it grants immunity to Bad Dreams damage.	Heals 1/8 of max HP every turn if asleep. Immune to Bad Dreams.	PassiveRecoveryAbAttr
334	5072	Bad Luck	Foes can not land critical hits, always roll minimum damage (85% instead of 85-100%), fail to inflict secondary effects that are not guaranteed, and have a 5% chance to miss a move.	Foes can't crit, deal min damage, 5% less acc, & no effect chance.	CritImmunityAbAttr
335	5073	Haunted Spirit	Curses the attacker when knocked out by a direct hit. The curse inflicts 25% max HP damage per turn until the cursed Pokemon switches out or faints. Ghost-type attackers are immune to the curse.	When this Pokémon is KO'd, casts a Curse on the attacker.	OnFaintEffectAbAttr
336	5074	Electric Burst	Electric Burst boosts Electric- type moves by 35% but causes 10% recoil damage based on damage dealt (minimum 1 HP). The recoil damage will not knock out the user.	Electric-type moves deal 1.35x damage but have 10% recoil.	TypeDamageBoostAbAttr,TypeRecoilAbAttr
337	5075	Raw Wood	Reduces damage from Grass-type attacks by 50% while boosting the power of the user's own Grass-type moves by 20%. Damage reduction is multiplicative with other sources.	Halves dmg taken by Grass moves. Boosts own Grass moves by 1.2x.	TypeDamageBoostAbAttr,DamageReductionAbAttr
338	5076	Solenoglyphs	Solenoglyphs gives all biting moves a 50% chance to badly poison the target when landing.	Biting moves have a 50% chance to badly poison the target.	ChanceStatusOnAttackAbAttr
339	5077	Spider Lair	Sets Sticky Web on opponent's field when the user enters battle. Lasts 5 turns and lowers Speed by 1 stage for any grounded Pokemon switching in. Cannot activate if Sticky Web is already present on opponent's field.	Casts Sticky Web on entry. Lasts 5 turns.	EntryEffectAbAttr
340	5078	Fatal Precision	Super-effective damaging moves never miss and always land critical hits.	Super-effective moves never miss and always crit.	ConditionalAlwaysHitAbAttr,ConditionalCritAbAttr
341	5079	Fort Knox	Immune to all damage boosting ability effects from opponents, other than Parental Bond and Multi-Headed.	Blocks most damage boosting and multihit abilities.	PostDefendSuppressOpponentDamageBoostAbAttr
342	5080	Seaweed	If user is Grass-type, they take half damage from Fire-type attacks and deals 2x damage to Fire-type Pokemon with Grass- type moves. Multiplicative with other sources of damage reduction.	Takes 1/2 dmg from Fire if Grass. Grass deals x2 dmg to Fire.	OffensiveTypeMultiplierAbAttr,ReceivedTypeDamageMultiplierAbAttr
343	5081	Psychic Mind	Boosts the power of Psychic- type moves by 20%, or by 50% at 1/3 HP or lower.	Boosts Psychic-type moves by 1.2x, or 1.5x when under 1/3 HP.	TypeDamageBoostAbAttr
344	5082	Poison Absorb	The user draws in Poison-type moves and gains immunity to them, healing for 1/4th of max HP instead. Additionally, heals 1/8th of max HP per turn on Toxic Terrain.	Redirects Poison moves. Absorbs them, healing 25% HP.	TypeAbsorbHealAbAttr
345	5083	Scavenger	When this Pokemon defeats an opponent with a direct hit, it immediately regains 25% of its maximum HP.	Dealing a KO heals 1/4 of this Pokémon's max HP.	LifestealOnKoAbAttr
346	5084	Twist. Dimension	Sets up Trick Room on entry, lasts 3 turns.	Sets up Trick Room on entry, lasts 3 turns.	EntryEffectAbAttr
347	5085	Multi-Headed	Attack 2-3 times per move based on number of heads. Two-headed Pokemon strike twice (1st hit does 100%, 2nd does 25%), three- headed hit thrice (1st hit does 100%, 2nd does 20%, 3rd does 15%). Each hit rolls secondary effects independently (except flinch). Bypasses Fort Knox/Wonder Skin.	Hits as many times, as it has heads.	AddSecondStrikeAbAttr,AddSecondStrikeAbAttr
348	5086	North Wind	Sets up Aurora Veil upon entering battle, cutting physical and special damage recieved by half for your entire team. Aurora Veil lasts 3 turns, or 5 turns with Light Clay. The user is also immune to Hail damage. Cannot trigger again if Aurora Veil is already active.	3 turns Aurora Veil on entry. Immune to Hail damage.	EntryEffectAbAttr,BlockWeatherDamageAttr
349	5087	Overcharge	The user's Electric-type moves become effective against Electric-type Pokemon, dealing 2x damage instead of 0.5x. Also allows the user to paralyze Electric-types.	Electric is super effective vs Electric. Can paralyze Electric.	OffensiveTypeChartOverrideAbAttr
350	5088	Violent Rush	The user gains a 50% Speed boost and 20% Attack boost on their first turn after switching in.	Boosts Speed by 50% + Attack by 20% on first turn.	FirstTurnStatMultiplierAbAttr,MovePowerBoostAbAttr
351	5089	Flaming Soul	Grants +1 priority to Fire-type moves when at full HP.	Fire-type moves get +1 priority at max HP.	PriorityModifierAbAttr
352	5090	Sage Power	Boosts Special Attack by 50% but locks the user into using the first move selected until they switch out.	Ups Special Attack by 50% and locks move.	StatMultiplierAbAttr,GorillaTacticsAbAttr
353	5091	Bone Zone	Bone moves bypass immunities and hit for normal damage, while resisted moves do 2x damage. Neutral/super effective moves remain unchanged.	Bone moves ignore immunities and deal 2x on not very effective.	BoneMoveTypeChartAbAttr
354	5092	Weather Control	Grants immunity to weather- based moves: Thunder, Solar Beam/Blade, Hurricane, Blizzard, Silver Wind, Weather Ball, all Storm moves (not including Magma, Leaf, or Diamond), Sheer Cold, and Pledge moves. Does not stop weather setup or damage.	Negates all weather based moves from enemies.	WeatherBasedMoveBlockAbAttr
355	5093	Speed Force	Adds 20% of the user's Speed stat to damage when using contact moves. Choice Scarf does not affect this ability.	Contact moves use 20% of its Speed stat additionally.	SpeedBonusToStatAbAttr,SpeedBonusToStatAbAttr
356	5094	Sea Guardian	When entering battle during rain, Sea Guardian boosts your highest stat by one stage. Works with any rain type. Triggers once per switch-in.	Ups highest stat by +1 on entry when it rains.	SelfHighestStatBoostOnSummonAbAttr
357	5095	Molten Down	Molten Down makes Fire-type moves super effective against Rock-types instead of resisted.	Fire-type is super effective against Rock-type.	OffensiveTypeChartOverrideAbAttr
358	5096	Hyper Aggressive	Makes all attacks hit twice in succession. The first hit deals 100%, while the second hit deals 25%. Each hit rolls secondary effects independently (except flinch).	Moves hit twice. Second hit does 25% damage.	HitMultiplierAbAttr,HitMultiplierPowerAbAttr
359	5097	Flock	Boosts the power of Flying-type moves by 20%, or by 50% at 1/3 HP or lower.	Boosts Flying-type moves by 1.2x, or 1.5x when below 1/3 HP.	TypeDamageBoostAbAttr
360	5098	Field Explorer	Boosts the power of moves that can be used in the overworld by 50%. Includes all HM moves, (Zen) Headbutt, Ice Spinner, Hidden/Secret Power, and Dig.	Boosts field moves by 50%. Cut, Surf, Strength etc.	FlagDamageBoostAbAttr
361	5099	Striker	Striker increases the power of all kicking moves by 30%. Includes Pyro Ball.	Boosts the power of kicking moves by 1.3x.	FlagDamageBoostAbAttr
362	5100	Frozen Soul	Frozen Soul grants +1 priority to all Ice-type moves when the user is at maximum HP.	Ice-type moves get +1 priority at max HP.	PriorityModifierAbAttr
363	5101	Predator	When the user knocks out an opponent with a direct hit, it immediately recovers 25% of its maximum HP.	Dealing a KO heals 1/4 of this Pokémon's max HP.	LifestealOnKoAbAttr
364	5102	Looter	When the user knocks out an opponent with a direct hit, it immediately recovers 25% of its maximum HP.	Dealing a KO heals 1/4 of this Pokémon's max HP.	LifestealOnKoAbAttr
365	5103	Lunar Eclipse	Lunar Eclipse grants STAB bonus to both Fairy and Dark-type moves regardless of the user's typing. Improves Hypnosis accuracy to 90%.	Fairy & Dark gains STAB. Hypnosis has 1.5x accuracy.	StabAddAbAttr,StabAddAbAttr
366	5104	Solar Flare	Converts Normal-type moves to Fire-type and grants Fire-type STAB. If the user is Fire-type their Fire-type moves get 10% burn chance. Additionally activates any Sun related effects for the user's moves.	Chloroplast + Immolate.	TypeConversionAbAttr,TypeConversionPowerBoostAbAttr
367	5105	Power Core	Adds 20% of Defense stat to physical attacks and 20% of Special Defense stat to special attacks when calculating damage.	The Pokémon uses +20% of its Defense or SpDef during moves.	SpeedBonusToStatAbAttr,SpeedBonusToStatAbAttr
368	5106	Sighting System	Sighting System guarantees all moves hit regardless of accuracy checks. Moves with less than 80% base accuracy receive -3 priority.	Moves always hit. Moves last for moves less than 80% accuracy.	AlwaysHitAbAttr
369	5107	Bad Company	Not implemented.	Not implemented right now. Has no effect.	
370	290	Opportunist	Grants +1 priority to all moves when targeting opponents with 50% HP or less.	+1 priority vs foes below 1/2 max HP.	ChangeMovePriorityAbAttr
371	5108	Giant Wings	Giant Wings boosts the power of all wing, wind, and air-based moves by 30%.	Boosts the power of wing, wind or air-based moves by 1.3x.	FlagDamageBoostAbAttr
372	5109	Momentum	Contact moves use Speed stat for damage instead of Attack/Special Attack. Choice Scarf does not affect this ability.	Contact moves use the Speed stat for damage calculation.	AttackStatSubstituteAbAttr
373	5110	Grip Pincer	Contact moves have a 50% chance to trap the target (like Wrap), preventing escape or switching. Against trapped targets, the user's moves ignore defensive stats changes and always hit. Trapped targets take 1/8 max HP damage each turn. Trap lasts 4-5 turns (7 with Grip Claw).	50% chance to trap. Then ignores Defense & accuracy checks.	ChanceBattlerTagOnHitAbAttr
374	5111	Big Leaves	Activates any sun related effects for the user's moves. Boosts Speed stat by 50% in sun. Cures status in sun. 50% chance to restore berry on turn end, 100% in sun. Raises highest attacking stat by 50% in sun.	Chloroplast + Chlorophyll + Leaf Guard + Harvest + Solar Power.	StatMultiplierAbAttr,StatusEffectImmunityAbAttr,PostTurnRestoreBerryAbAttr,PostWeatherLapseDamageAbAttr,StatMultiplierAbAttr
375	5112	Precise Fist	Punching moves gain +1 critical hit stage and 5x their normal secondary effect chance.	Punching moves get +1 crit and 5x effect chance.	CritStageBonusAbAttr
376	5113	Deadeye	The user is unable to miss arrow- based attacks and cannon moves (different from Mega Launcher moves, includes moves blocked by Bulletproof). Additionally, when landing critical hits, the attack targets the opponent's weaker defensive stat.	Arrow & cannon moves never miss. Crits hit weakest defense.	StatMultiplierAbAttr,CritStageBonusAbAttr,CritStageBonusAbAttr
377	5114	Artillery	Mega Launcher moves always hit and strike both opposing Pokemon simultaneously. Unable to miss with pulse, beam, ball, aura, and other blast related moves.	Mega Launcher moves always hit and hit both foes.	ConditionalAlwaysHitAbAttr
378	5115	Amplifier	Amplifier boosts sound-based moves by 30% damage. Single- target sound moves gain spread targeting to hit both opposing Pokemon. Does not spread with multihit moves.	Ups sound moves by 30% and makes them hit both foes.	FlagDamageBoostAbAttr
379	5116	Ice Dew	Redirects all Ice-type moves to this Pokemon and absorbs them. Upon absorbing an Ice move, boosts either Attack or Special Attack (whichever is higher) by one stage.	Redirects Ice moves. Absorbs them, ups highest Atk.	TypeAbsorbStatBoostAbAttr
380	5117	Sun Worship	When entering battle during Sun, boosts the user's highest stat by one stage.	Ups highest stat by +1 on entry when sunny.	SelfHighestStatBoostOnSummonAbAttr
